cell_type,marker,importance
club cell,SCGB3A2,Inf
club cell,CYP2B7P,166.7862642
club cell,MGP,158.8333088
club cell,RPLP2,132.6935534
club cell,RNASE1,122.8973382
club cell,SFTPB,120.1949412
club cell,CYB5A,112.8283215
club cell,VIM,112.4917121
club cell,HSD17B11,106.338372
club cell,CTSE,106.0331523
club cell,C16orf89,101.5491
club cell,RPL27A,100.4933793
club cell,RPL34,93.79911673
club cell,RPL26,93.33635241
club cell,RPL21,91.60530016
club cell,RPS29,90.97532798
club cell,RPS19,89.04556294
club cell,RPS14,88.62248434
club cell,AADAC,88.30832705
club cell,RPS23,86.09687548
club cell,SFTA1P,85.28782151
club cell,RPL24,83.39289481
club cell,RPL35,81.75960429
club cell,RPS24,81.61883908
club cell,RPL39,80.30491066
club cell,CST3,79.90658757
club cell,RPS28,79.81411306
club cell,RPS25,78.67974431
club cell,AGR3,77.77600019
club cell,RPS15A,76.5042082
club cell,HOPX,75.0020728
club cell,RPS21,74.08947085
club cell,RPL22,73.73395101
club cell,RPS18,73.38348858
club cell,RPL32,72.23405657
club cell,RPS27A,71.38763144
club cell,RPL37,69.20460913
club cell,KIAA1324,68.32683785
club cell,STEAP4,67.49298524
club cell,MET,67.37610252
club cell,RPS6,67.04414634
club cell,RPS3,66.61620903
club cell,RPS3A,66.33699789
club cell,RPL9,66.27929395
club cell,S100A13,66.05446931
club cell,SLPI,65.78342002
club cell,RPL35A,65.1758625
club cell,FOLR1,63.66109432
club cell,RPL10,62.86211777
club cell,RPL31,61.96068024
club cell,FABP5,61.93336286
club cell,TPT1,61.41171755
club cell,RPL12,60.62252338
club cell,RPL5,59.95899597
club cell,GDF15,58.80430134
club cell,RPL13,57.42789621
club cell,RPS12,56.42497164
club cell,RPS8,55.5704237
club cell,RPL13A,54.42134788
club cell,RPL7A,54.23335345
club cell,RPS27,54.08466247
club cell,ARHGDIB,54.04723038
club cell,RPL11,53.65056693
club cell,RPL23A,53.62304845
